"S.N.","Code","Abbr","Name","City","Mount Type","Capacity (kWp)","Day Generation (kWh)","Day Yield (kWh/kWp)","Day Est. Irradiation (kWh/m²)","Performance Ratio (%)"
"285","20080","HSILD","HSIL Limited Dharwad","DHARWAD","rooftop","250.8","...","...","...","..."
"286","20082","GFPL","Griffith Foods","Bangalore","rooftop","318.5","...","...","...","..."
"287","20083","GNAE","Guru Nanak Auto Enterprises Ltd","Phagwara","rooftop","396","...","...","...","..."
"288","20084","BMS","Beam Suntory","Alwar","rooftop","91.12","...","...","...","..."
"289","20085","GLIM","Great Lakes Institutes of Management","chennai","rooftop","347.2","...","...","...","..."
"290","20086","CONE","Continental Engine","Bhiwani","rooftop","699","...","...","...","..."
"291","20087","SFPL","Srinivasa Farms","Yavatmal","ground","1102","...","...","...","..."
"292","20088","MPGI2","Maharana Pratap Group of Institutions-II","kanpur","rooftop","361.65","...","...","...","..."
"293","20089","PNG","Proctor and  Gamble","Hyderabad","ground","994.95","...","...","...","..."
"294","20091","TEP","Thyssenkrupp Elevator Pune","Chakan Pune","rooftop","821.1","...","...","...","..."
"295","20092","HFLH","Harita Fehrer Ltd Hosur","Hosur","rooftop","650.1","...","...","...","..."
"296","20093","HFL","Harita Fehrer Ltd Pune","Pune","rooftop","290.4","...","...","...","..."
"297","20094","HFLM","Harita Fehrer Ltd Mysuru","Mysuru","rooftop","288.42","...","...","...","..."
"298","20096","MTH","Matahari","Bilaspur","ground","48003","...","...","...","..."
"299","20097","VHO","Vatika Hotels One On One","Gurugram","rooftop","295.5","...","...","...","..."
"300","20098","MCC-M","Metro Cash & Carry","Meerut","rooftop","135.85","...","...","...","..."
"301","20099","KEM","Kinetic Electric Motor","Pune","rooftop","191.75","...","...","...","..."
"302","20100","VIL","Venkys India Ltd","Solapur","ground","1302.6","...","...","...","..."
"303","20101","YN3","Yamaha Gr Noida Phase III","Noida","rooftop","1219.67","...","...","...","..."
"304","20103","MATEAEX","MATE Tapukara Extn","Alwar","rooftop","249.6","...","...","...","..."
"305","20104","WPE","Whirlpool Ext","Pune","rooftop","2222","...","...","...","..."
"306","20105","AMW2","Amway 2","Dindigul","rooftop","500.5","...","...","...","..."
"307","20106","GMCWTP","Gwalior Municipal Corporation WTP","Gwalior","rooftop","596.44","...","...","...","..."
